iter	Passed	Remaining
405	7078	10356
406	7095	10338
407	7111	10318
408	7129	10301
409	7146	10284
410	7165	10268
411	7183	10252
412	7200	10234
413	7217	10216
414	7236	10200
415	7252	10181
416	7269	10163
417	7286	10145
418	7305	10129
419	7322	10112
420	7339	10093
421	7355	10074
422	7371	10055
423	7389	10038
424	7405	10019
425	7423	10002
426	7441	9985
427	7459	9968
428	7476	9950
429	7492	9931
430	7510	9915
431	7525	9894
432	7542	9876
433	7558	9857
434	7574	9838
435	7590	9819
436	7607	9801
437	7623	9782
438	7639	9762
439	7655	9743
440	7672	9725
441	7689	9707
442	7705	9688
443	7722	9670
444	7738	9651
445	7754	9632
446	7769	9612
447	7787	9595
448	7803	9576
449	7820	9558
450	7836	9539
451	7853	9521
452	7869	9502
453	7884	9482
454	7902	9465
455	7919	9447
456	7934	9428
457	7950	9408
458	7966	9389
459	7981	9369
460	7998	9351
461	8015	9334
462	8033	9317
463	8049	9298
464	8066	9280
465	8082	9261
466	8098	9242
467	8114	9224
468	8132	9207
469	8148	9188
470	8164	9169
471	8184	9155
472	8202	9138
473	8223	9125
474	8240	9108
475	8260	9093
476	8278	9076
477	8299	9063
478	8318	9047
479	8336	9030
480	8353	9013
481	8369	8994
482	8387	8978
483	8407	8963
484	8424	8945
485	8441	8927
486	8457	8909
487	8473	8890
488	8490	8872
489	8507	8855
490	8523	8835
491	8539	8816
492	8555	8798
493	8579	8788
494	8595	8768
495	8611	8750
496	8627	8731
497	8645	8714
498	8660	8695
499	8677	8677
500	8693	8659
501	8709	8640
502	8725	8621
503	8740	8602
504	8757	8583
505	8774	8566
506	8790	8547
507	8807	8529
508	8825	8513
509	8841	8494
510	8859	8478
511	8884	8467
512	8899	8447
513	8914	8429
514	8931	8410
515	8947	8393
516	8965	8375
517	8984	8359
518	9002	8343
519	9019	8326
520	9035	8307
521	9052	8289
522	9069	8271
523	9084	8252
524	9102	8235
525	9117	8216
526	9133	8198
527	9151	8180
528	9167	8162
529	9185	8145
530	9202	8127
531	9219	8110
532	9237	8093
533	9253	8075
534	9270	8057
535	9286	8039
536	9306	8023
537	9325	8008
538	9342	7990
539	9362	7975
540	9379	7958
541	9398	7941
542	9417	7925
543	9435	7909
544	9452	7891
545	9475	7879
546	9491	7860
547	9506	7841
548	9524	7824
549	9540	7805
550	9557	7788
551	9573	7769
552	9590	7752
553	9606	7733
554	9625	7717
555	9642	7700
556	9659	7682
557	9676	7664
558	9695	7648
559	9710	7629
560	9727	7612
561	9742	7593
562	9764	7579
563	9780	7560
564	9795	7541
565	9811	7523
566	9831	7507
567	9846	7488
568	9863	7471
569	9881	7454
570	9898	7437
571	9914	7418
572	9930	7400
573	9947	7382
574	9964	7365
575	9981	7347
576	9997	7328
577	10012	7310
578	10029	7292
579	10048	7276
580	10064	7258
581	10081	7240
582	10099	7223
583	10117	7206
584	10133	7188
585	10151	7171
586	10167	7153
587	10185	7136
588	10202	7119
589	10222	7103
590	10240	7087
591	10261	7072
592	10280	7056
593	10298	7039
594	10317	7022
595	10335	7005
596	10352	6988
597	10369	6970
598	10388	6954
599	10404	6936
600	10420	6917
601	10438	6901
602	10457	6885
603	10473	6867
604	10491	6849
605	10508	6831
606	10528	6816
607	10544	6798
608	10561	6780
609	10578	6763
610	10594	6744
611	10613	6728
612	10628	6709
613	10645	6692
614	10661	6674
615	10678	6656
616	10696	6639
617	10714	6622
618	10731	6605
619	10746	6586
620	10763	6568
621	10779	6551
622	10795	6532
623	10812	6515
624	10828	6496
625	10844	6479
626	10863	6462
627	10879	6444
